gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx1250,256,2048,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,2048,200064,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,3072,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,3072,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,3072,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,3072,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,3072,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,3072,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,3072,200064,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,4096,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,4096,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,4096,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,4096,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,4096,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,4096,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,4096,200064,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,5120,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,5120,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,5120,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,5120,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,5120,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,5120,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,5120,200064,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,6144,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,6144,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,6144,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,6144,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,6144,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,6144,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,6144,200064,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,6564,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0275,auto,0.0,375.63,3053.00
gfx1250,256,6564,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.7550,auto,0.0,875.19,382.61
gfx1250,256,6564,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,1.1965,auto,0.0,828.37,328.44
gfx1250,256,6564,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.8595,auto,0.0,864.83,366.35
gfx1250,256,6564,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.6998,auto,0.0,1135.96,473.20
gfx1250,256,6564,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,2.2390,auto,0.0,885.34,315.00
gfx1250,256,6576,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0274,auto,0.0,377.39,3067.18
gfx1250,256,6576,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.7559,auto,0.0,875.70,382.59
gfx1250,256,6576,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,1.2337,auto,0.0,804.88,318.90
gfx1250,256,6576,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.8636,auto,0.0,862.31,365.05
gfx1250,256,6576,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.6997,auto,0.0,1138.27,473.85
gfx1250,256,6576,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,2.2020,auto,0.0,901.87,320.63
gfx1250,256,6581,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0274,auto,0.0,377.60,3068.80
gfx1250,256,6581,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.7541,auto,0.0,878.46,383.70
gfx1250,256,6581,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,1.1808,auto,0.0,841.53,333.32
gfx1250,256,6581,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.8632,auto,0.0,863.38,365.40
gfx1250,256,6581,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.6995,auto,0.0,1139.50,474.23
